"","X1","date","block","number","species","percent_cover","colour","timediff"
"258",1255,2019-07-04,"E",3,"ulothrix",72.5,"warm",11.8154761904762
"259",1256,2019-07-04,"E",4,"ulothrix",89.5,"warm",11.8154761904762
"260",1257,2019-07-04,"E",5,"ulothrix",90.5,"ambient",11.8154761904762
"261",1258,2019-07-04,"E",6,"ulothrix",64,"warm",11.8154761904762
"262",1259,2019-07-04,"E",7,"ulothrix",48.5,"warm",11.8154761904762
"263",1260,2019-07-04,"E",8,"ulothrix",80.5,"ambient",11.8154761904762
"264",1261,2019-07-04,"E",9,"ulothrix",53,"ambient",11.8154761904762
"265",1262,2019-07-04,"E",10,"ulothrix",68.5,"ambient",11.8154761904762
"266",1263,2019-07-04,"E",11,"ulothrix",47,"warm",11.8154761904762
"267",1264,2019-07-04,"E",12,"ulothrix",39,"ambient",11.8154761904762
"268",1265,2019-07-04,"E",13,"ulothrix",93.5,"ambient",11.8154761904762
"269",1266,2019-07-04,"E",14,"ulothrix",40.5,"ambient",11.8154761904762
"270",1267,2019-07-04,"E",15,"ulothrix",28,"warm",11.8154761904762
"271",1268,2019-07-04,"E",16,"ulothrix",27.5,"warm",11.8154761904762
"272",1269,2019-07-04,"F",1,"ulothrix",3.5,"warm",11.8154761904762
"273",1270,2019-07-04,"F",2,"ulothrix",1,"warm",11.8154761904762
"274",1271,2019-07-04,"F",3,"ulothrix",1,"ambient",11.8154761904762
"275",1272,2019-07-04,"F",4,"ulothrix",1,"ambient",11.8154761904762
"276",1273,2019-07-04,"F",5,"ulothrix",9,"warm",11.8154761904762
"277",1274,2019-07-04,"F",6,"ulothrix",1.5,"warm",11.8154761904762
"278",1275,2019-07-04,"F",7,"ulothrix",3,"ambient",11.8154761904762
"279",1276,2019-07-04,"F",8,"ulothrix",33.5,"warm",11.8154761904762
"280",1277,2019-07-04,"F",9,"ulothrix",38.5,"ambient",11.8154761904762
"281",1278,2019-07-04,"F",10,"ulothrix",41.5,"warm",11.8154761904762
"282",1279,2019-07-04,"F",11,"ulothrix",33,"ambient",11.8154761904762
"283",1280,2019-07-04,"F",12,"ulothrix",92,"ambient",11.8154761904762
"284",1281,2019-07-04,"F",13,"ulothrix",50,"warm",11.8154761904762
"285",1282,2019-07-04,"F",14,"ulothrix",14,"ambient",11.8154761904762
"286",1283,2019-07-04,"F",15,"ulothrix",41.5,"ambient",11.8154761904762
"287",1284,2019-07-04,"F",16,"ulothrix",21.5,"warm",11.8154761904762
"288",2053,2019-07-18,"A",1,"ulothrix",74.5,"warm",13.8154761904762
"289",2054,2019-07-18,"A",2,"ulothrix",97.5,"warm",13.8154761904762
"290",2055,2019-07-18,"A",3,"ulothrix",72,"ambient",13.8154761904762
"291",2056,2019-07-18,"A",4,"ulothrix",64,"warm",13.8154761904762
"292",2057,2019-07-18,"A",5,"ulothrix",51,"warm",13.8154761904762
"293",2058,2019-07-18,"A",6,"ulothrix",18.5,"warm",13.8154761904762
"294",2059,2019-07-18,"A",7,"ulothrix",53,"ambient",13.8154761904762
"295",2060,2019-07-18,"A",8,"ulothrix",96,"ambient",13.8154761904762
"296",2061,2019-07-18,"A",9,"ulothrix",39,"ambient",13.8154761904762
"297",2062,2019-07-18,"A",10,"ulothrix",50,"warm",13.8154761904762
"298",2063,2019-07-18,"A",11,"ulothrix",95.5,"ambient",13.8154761904762
"299",2064,2019-07-18,"A",12,"ulothrix",71,"ambient",13.8154761904762
"300",2065,2019-07-18,"A",13,"ulothrix",4.5,"ambient",13.8154761904762
"301",2066,2019-07-18,"A",14,"ulothrix",24.5,"warm",13.8154761904762
"302",2067,2019-07-18,"A",15,"ulothrix",28,"warm",13.8154761904762
"303",2068,2019-07-18,"A",16,"ulothrix",72.5,"ambient",13.8154761904762
"304",2069,2019-07-18,"B",1,"ulothrix",3,"warm",13.8154761904762
"305",2070,2019-07-18,"B",2,"ulothrix",3,"warm",13.8154761904762
"306",2071,2019-07-18,"B",3,"ulothrix",48.5,"ambient",13.8154761904762
"307",2072,2019-07-18,"B",4,"ulothrix",46.5,"ambient",13.8154761904762
"308",2073,2019-07-18,"B",5,"ulothrix",14,"ambient",13.8154761904762
"309",2074,2019-07-18,"B",6,"ulothrix",2.5,"warm",13.8154761904762
"310",2075,2019-07-18,"B",7,"ulothrix",56,"warm",13.8154761904762
"311",2076,2019-07-18,"B",8,"ulothrix",54,"warm",13.8154761904762
"312",2077,2019-07-18,"B",9,"ulothrix",5.5,"ambient",13.8154761904762
"313",2078,2019-07-18,"B",10,"ulothrix",29.5,"warm",13.8154761904762
"314",2079,2019-07-18,"B",11,"ulothrix",37,"ambient",13.8154761904762
"315",2080,2019-07-18,"B",12,"ulothrix",2,"warm",13.8154761904762
"316",2081,2019-07-18,"B",13,"ulothrix",38,"ambient",13.8154761904762
"317",2082,2019-07-18,"B",14,"ulothrix",29.5,"warm",13.8154761904762
"318",2083,2019-07-18,"B",15,"ulothrix",23.5,"ambient",13.8154761904762
"319",2084,2019-07-18,"B",16,"ulothrix",0,"warm",13.8154761904762
"320",2085,2019-07-18,"C",1,"ulothrix",51.5,"warm",13.8154761904762
"321",2086,2019-07-18,"C",2,"ulothrix",53.5,"ambient",13.8154761904762
"322",2087,2019-07-18,"C",3,"ulothrix",71,"ambient",13.8154761904762
"323",2088,2019-07-18,"C",4,"ulothrix",63,"warm",13.8154761904762
"324",2089,2019-07-18,"C",5,"ulothrix",63,"ambient",13.8154761904762
"325",2090,2019-07-18,"C",6,"ulothrix",69.5,"warm",13.8154761904762
"326",2091,2019-07-18,"C",7,"ulothrix",53,"warm",13.8154761904762
"327",2092,2019-07-18,"C",8,"ulothrix",41,"warm",13.8154761904762
"328",2093,2019-07-18,"C",9,"ulothrix",93.5,"ambient",13.8154761904762
"329",2094,2019-07-18,"C",10,"ulothrix",6.5,"warm",13.8154761904762
"330",2095,2019-07-18,"C",11,"ulothrix",5.5,"warm",13.8154761904762
"331",2096,2019-07-18,"C",12,"ulothrix",15,"warm",13.8154761904762
"332",2097,2019-07-18,"C",13,"ulothrix",2,"ambient",13.8154761904762
"333",2098,2019-07-18,"C",14,"ulothrix",60.5,"ambient",13.8154761904762
"334",2099,2019-07-18,"C",15,"ulothrix",38,"ambient",13.8154761904762
"335",2100,2019-07-18,"C",16,"ulothrix",46.5,"ambient",13.8154761904762
"336",2101,2019-07-18,"D",1,"ulothrix",97,"ambient",13.8154761904762
"337",2102,2019-07-18,"D",2,"ulothrix",85.5,"ambient",13.8154761904762
"338",2103,2019-07-18,"D",3,"ulothrix",57,"warm",13.8154761904762
"339",2104,2019-07-18,"D",4,"ulothrix",73.5,"ambient",13.8154761904762
"340",2105,2019-07-18,"D",5,"ulothrix",58,"ambient",13.8154761904762
"341",2106,2019-07-18,"D",6,"ulothrix",40,"ambient",13.8154761904762
"342",2107,2019-07-18,"D",7,"ulothrix",28,"warm",13.8154761904762
"343",2108,2019-07-18,"D",8,"ulothrix",17,"warm",13.8154761904762
"344",2109,2019-07-18,"D",9,"ulothrix",14.5,"warm",13.8154761904762
"345",2110,2019-07-18,"D",10,"ulothrix",62.5,"ambient",13.8154761904762
"346",2111,2019-07-18,"D",11,"ulothrix",22.5,"ambient",13.8154761904762
"347",2112,2019-07-18,"D",12,"ulothrix",2,"warm",13.8154761904762
"348",2113,2019-07-18,"D",13,"ulothrix",4,"ambient",13.8154761904762
"349",2114,2019-07-18,"D",14,"ulothrix",51,"warm",13.8154761904762
"350",2115,2019-07-18,"D",15,"ulothrix",22,"warm",13.8154761904762
