"","date_time","temp","block","number","colour"
"320","2019-06-20 01:02:00",12,"A","rock","rock"
"321","2019-06-20 02:02:00",12.5,"A","rock","rock"
"322","2019-06-20 03:02:00",13,"A","rock","rock"
"323","2019-06-20 04:02:00",13,"A","rock","rock"
"324","2019-06-20 05:02:00",12.5,"A","rock","rock"
"325","2019-06-20 06:02:00",12.5,"A","rock","rock"
"326","2019-06-20 07:02:00",13,"A","rock","rock"
"327","2019-06-20 08:02:00",12.5,"A","rock","rock"
"328","2019-06-20 09:02:00",14,"A","rock","rock"
"329","2019-06-20 10:02:00",24.5,"A","rock","rock"
"330","2019-06-20 11:02:00",30.5,"A","rock","rock"
"331","2019-06-20 12:02:00",33.5,"A","rock","rock"
"332","2019-06-20 13:02:00",32,"A","rock","rock"
"333","2019-06-20 14:02:00",31,"A","rock","rock"
"334","2019-06-20 15:02:00",29.5,"A","rock","rock"
"335","2019-06-20 16:02:00",27.5,"A","rock","rock"
"336","2019-06-20 17:02:00",22.5,"A","rock","rock"
"337","2019-06-20 18:02:00",15,"A","rock","rock"
"338","2019-06-20 19:02:00",14,"A","rock","rock"
"339","2019-06-20 20:02:00",13.5,"A","rock","rock"
"340","2019-06-20 21:02:00",13,"A","rock","rock"
"341","2019-06-20 22:02:00",12.5,"A","rock","rock"
"342","2019-06-20 23:02:00",12.5,"A","rock","rock"
"343","2019-06-21 00:02:00",13,"A","rock","rock"
"344","2019-06-21 01:02:00",12.5,"A","rock","rock"
"345","2019-06-21 02:02:00",12.5,"A","rock","rock"
"346","2019-06-21 03:02:00",13,"A","rock","rock"
"347","2019-06-21 04:02:00",13,"A","rock","rock"
"348","2019-06-21 05:02:00",13,"A","rock","rock"
"349","2019-06-21 06:02:00",13,"A","rock","rock"
"350","2019-06-21 07:02:00",13.5,"A","rock","rock"
"351","2019-06-21 08:02:00",13.5,"A","rock","rock"
"352","2019-06-21 09:02:00",14,"A","rock","rock"
"353","2019-06-21 10:02:00",20.5,"A","rock","rock"
"354","2019-06-21 11:02:00",28.5,"A","rock","rock"
"355","2019-06-21 12:02:00",30.5,"A","rock","rock"
"356","2019-06-21 13:02:00",31.5,"A","rock","rock"
"357","2019-06-21 14:02:00",31.5,"A","rock","rock"
"358","2019-06-21 15:02:00",30.5,"A","rock","rock"
"359","2019-06-21 16:02:00",28,"A","rock","rock"
"360","2019-06-21 17:02:00",24.5,"A","rock","rock"
"361","2019-06-21 18:02:00",18.5,"A","rock","rock"
"362","2019-06-21 19:02:00",15,"A","rock","rock"
"363","2019-06-21 20:02:00",14.5,"A","rock","rock"
"364","2019-06-21 21:02:00",14,"A","rock","rock"
"365","2019-06-21 22:02:00",13,"A","rock","rock"
"366","2019-06-21 23:02:00",13.5,"A","rock","rock"
"367","2019-06-22 00:02:00",13.5,"A","rock","rock"
"368","2019-06-22 01:02:00",13.5,"A","rock","rock"
"369","2019-06-22 02:02:00",13,"A","rock","rock"
"370","2019-06-22 03:02:00",13,"A","rock","rock"
"371","2019-06-22 04:02:00",13,"A","rock","rock"
"372","2019-06-22 05:02:00",13,"A","rock","rock"
"373","2019-06-22 06:02:00",13.5,"A","rock","rock"
"374","2019-06-22 07:02:00",13.5,"A","rock","rock"
"375","2019-06-22 08:02:00",13.5,"A","rock","rock"
"376","2019-06-22 09:02:00",13,"A","rock","rock"
"377","2019-06-22 10:02:00",13.5,"A","rock","rock"
"378","2019-06-22 11:02:00",15.5,"A","rock","rock"
"379","2019-06-22 12:02:00",25.5,"A","rock","rock"
"380","2019-06-22 13:02:00",28.5,"A","rock","rock"
"381","2019-06-22 14:02:00",28,"A","rock","rock"
"382","2019-06-22 15:02:00",27,"A","rock","rock"
"383","2019-06-22 16:02:00",24.5,"A","rock","rock"
"384","2019-06-22 17:02:00",23.5,"A","rock","rock"
"385","2019-06-22 18:02:00",19,"A","rock","rock"
"386","2019-06-22 19:02:00",14,"A","rock","rock"
"387","2019-06-22 20:02:00",13.5,"A","rock","rock"
"388","2019-06-22 21:02:00",13.5,"A","rock","rock"
"389","2019-06-22 22:02:00",12.5,"A","rock","rock"
"390","2019-06-22 23:02:00",13.5,"A","rock","rock"
"391","2019-06-23 00:02:00",13,"A","rock","rock"
"392","2019-06-23 01:02:00",13,"A","rock","rock"
"393","2019-06-23 02:02:00",13,"A","rock","rock"
"394","2019-06-23 03:02:00",13,"A","rock","rock"
"395","2019-06-23 04:02:00",13,"A","rock","rock"
"396","2019-06-23 05:02:00",13,"A","rock","rock"
"397","2019-06-23 06:02:00",12.5,"A","rock","rock"
"398","2019-06-23 07:02:00",13,"A","rock","rock"
"399","2019-06-23 08:02:00",13,"A","rock","rock"
"400","2019-06-23 09:02:00",13,"A","rock","rock"
"401","2019-06-23 10:02:00",13.5,"A","rock","rock"
"402","2019-06-23 11:02:00",26.5,"A","rock","rock"
"403","2019-06-23 12:02:00",29,"A","rock","rock"
"404","2019-06-23 13:02:00",27.5,"A","rock","rock"
"405","2019-06-23 14:02:00",26,"A","rock","rock"
"406","2019-06-23 15:02:00",26.5,"A","rock","rock"
"407","2019-06-23 16:02:00",21,"A","rock","rock"
"408","2019-06-23 17:02:00",23.5,"A","rock","rock"
"409","2019-06-23 18:02:00",19,"A","rock","rock"
"410","2019-06-23 19:02:00",16.5,"A","rock","rock"
"411","2019-06-23 20:02:00",14.5,"A","rock","rock"
"412","2019-06-23 21:02:00",14,"A","rock","rock"
"413","2019-06-23 22:02:00",13.5,"A","rock","rock"
"414","2019-06-23 23:02:00",13,"A","rock","rock"
"415","2019-06-24 00:02:00",13,"A","rock","rock"
"416","2019-06-24 01:02:00",13,"A","rock","rock"
"417","2019-06-24 02:02:00",13,"A","rock","rock"
